CD_SITE;PRECISION;TYPE;EFF_MAX_CHIRO;STATUT;mean.petit_rhino;mean.grand_rhino;mean_grand_murin;mean_daubenton;mean_bechstein;mean_natterer;mean_echancrees;mean_complexe_murins
91-170124100019JOU;Précis;6211;26;Site normal;18,5;5;0;0;0;0;0;0
91-170208102623CAR;Précis;6211;377;Site_rattache;29;66,8;50,2;4,6;0;2,25;89,8;2,6
91-170221134533ROB;Précis;62;48;Site_rattache;23,66666667;0;0;0;0;0;0;0
91-170316092944ROB;Précis;6211;239;Site normal;19,5;13;30,5;3;1;21,5;121;0,5
91-180110170131LEP;Précis;611;9;Site normal;5,5;0;0,5;0;0;0;0;0
91-190219123712ROB;Précis;611;4;Site_rattache;1;0;0;0;0;1;0;0
91-200115150954ROB;Précis;612;41;Site normal;7;14;1,5;0;0;0;0;0
91-200115160801ROB;Précis;611;13;Site normal;8,5;3;0;0;0;0;0;0
91-261515;Précis;611;9;Site normal;5,5;1,5;0;0;0;0;0;0
91-261649;Précis;3;3;Site normal;0,5;0,5;0;0;0;1;0;0
EOBS-170322024006REF;Précis;612;196;Site_rattache;6,25;0,75;5,25;9;0;1,25;1,75;82,5
EOBS-170322024009REF;Précis;611;41;Site_rattache;7;0,5;3;4;2,5;1;9,5;5,5
EOBS_666;Précis;3113;55;Site normal;32;0;0;0;0;0;0;0
EOBS20170705000024;Précis;422;172;Site_rattache;2,75;3,375;3,875;0,125;0;0;0;0
R71159.002;Précis;611;6;Site normal;2,2;0,8;0;0;0;0;0;0
